"zone","wind_speed","wind_dir","temp","rh","dewpoint","pressure","radiation","soil"
"Zeelim_30.1.20_0810_W",3.371,277,16.16,55.62,7.398,1054.547,245.91,15.36
"Zeelim_30.1.20_0920_E",0.957,116.8,18.54,52.86,8.86,1054.73,461.96,20.66
"Zeelim_30.1.20_0920_W",0.957,116.8,18.54,52.86,8.86,1054.73,461.96,20.66
"Zeelim_30.1.20_0950_E",1.231,111.3,19.71,49.54,8.97,1054.7,538.12,22.93
"Zeelim_30.1.20_0950_W",1.231,111.3,19.71,49.54,8.97,1054.7,538.12,22.93
"Zeelim_30.1.20_1050_E",1.09,88.1,19.92,48.68,8.92,1054.1,645.2,28.11
"Zeelim_30.1.20_1050_W",1.09,88.1,19.92,48.68,8.92,1054.1,645.2,28.11
"Zeelim_30.1.20_1200_E",1.255,61.14,20.48,46.85,8.87,1052.716,695.93,30.62
"Zeelim_30.1.20_1200_W",1.255,61.14,20.48,46.85,8.87,1052.716,695.93,30.62
"Zeelim_30.1.20_1300_E",1.747,85.2,21.01,44.8,8.68,1051.555,662.33,30.41
"Zeelim_30.1.20_1300_W",1.747,85.2,21.01,44.8,8.68,1051.555,662.33,30.41
"Zeelim_30.1.20_1350_E",1.467,51.88,21.45,44.1,8.89,1050.885,580.29,30.59
"Zeelim_30.1.20_1350_W",1.467,51.88,21.45,44.1,8.89,1050.885,580.29,30.59
"Zeelim_30.1.20_1520_E",1.041,62.71,22.26,40.36,8.28,1050.3,316.36,26.34
"Zeelim_30.1.20_1520_W",1.041,62.71,22.26,40.36,8.28,1050.3,316.36,26.34
"Zeelim_30.1.20_1730_E",0.588,356.6,19.77,47.95,8.51,1049.623,2.6,16.58
"Zeelim_30.1.20_1730_W",0.588,356.6,19.77,47.95,8.51,1049.623,2.6,16.58
"Zeelim_30.5.19_0630_E",1.217,34.73,30.73,35.2,13.8,1039.359,283.95,32.04
"Zeelim_30.5.19_0630_W",1.217,34.73,30.73,35.2,13.8,1039.359,283.95,32.04
"Zeelim_7.11.19_1030_E",2.4,32.8,30.74,26.79,9.65,1043.478,623.93,34.38
"Zeelim_7.11.19_1030_W",2.4,32.8,30.74,26.79,9.65,1043.478,623.93,34.38
"Zeelim_7.11.19_1100_E",2.073,26.41,31.26,26,9.62,1042.973,645.54,35.76
"Zeelim_7.11.19_1100_W",2.073,26.41,31.26,26,9.62,1042.973,645.54,35.76
"Zeelim_7.11.19_1310_E",2.137,9.69,33.45,22.03,9.34,1040.822,541.19,37.31
"Zeelim_7.11.19_1310_W",2.137,9.69,33.45,22.03,9.34,1040.822,541.19,37.31
"Zeelim_7.11.19_1550_E",1.144,15.74,31.99,27.94,11.4,1040.02,64.43,30
"Zeelim_7.11.19_1550_W",1.144,15.74,31.99,27.94,11.4,1040.02,64.43,30
"Zeelim_7.11.19_1640_E",0.839,199.2,31.32,28,10.9,1039.729,15.25,27.74
"Zeelim_7.11.19_1640_W",0.839,199.2,31.32,28,10.9,1039.729,15.25,27.74
