,Zone,Flight,Station_ME,ERA5_ME,Station_MAE,ERA5_MAE
116,Med,Alona_5.6.19_1230_2,-4.771708008177313,-7.281985381061772,5.956836748576867,7.505632083512023
117,Des,Zeelim_30.1.20_0950_5,0.23659632445502082,-10.190208939419005,0.7364837467584444,10.190208939419005
118,Med,Alona_25.11.19_0750_5,1.1948353887775605,-3.3314912264503445,1.653281118221284,3.331514046773977
119,Med,Alona_13.12.20_0840_2,4.374644626459984,4.519443656263616,4.374646403999382,4.519551867962092
120,Med,Alona_11.11.19_1550_1,4.617399296497456,5.656000111573041,4.631835606010059,5.978813192787343
121,Des,Zeelim_23.9.19_1510_1,-0.9601695952418213,-8.23229976956909,2.4660438305796,8.234703605651262
122,Des,Mishmar_30.7.19_0500_5,-4.170459850350322,-6.017495676891388,4.173921285205,6.017495676891388
123,Des,Zeelim_29.5.19_1730_2,0.7043536672579392,-5.7157183271223655,1.116056956894137,5.719212157288486
124,Des,Zeelim_31.05.21_1140_3,2.6405990469913942,-8.460363419592435,3.1239383970489585,8.460363419592435
125,Med,Alona_11.11.19_1100_5,2.36894993325657,-0.3504007245442147,3.4460632977274472,3.059035008629492
126,Med,Alona_12.9.19_1600_3,3.811236118091186,-0.7366912754933479,4.297710963605027,2.7479246175031347
127,Des,Zeelim_23.9.19_1410_4,-1.4430808245550728,-12.95043724764582,2.112193762435959,12.95043724764582
128,Med,Alona_2.7.19_1340_4,-4.111175687285139,-5.8365714715732535,5.1540929825416635,6.555350100032464
129,Med,Alona_11.11.19_1450_4,3.0651727371707316,2.7311282989497006,3.360155632554349,3.982572192918759
130,Med,Alona_12.9.19_1600_1,4.082841268147624,-0.5198668936580282,4.382279200528012,2.664202395788866
131,Des,Zeelim_18.9.19_0900_4,-5.708532100502331,-17.994603770434352,5.714645596771759,17.994603770434352
132,Des,Zeelim_31.05.21_1140_1,2.270035711792101,-9.093364046428393,2.9290590114545223,9.093364046428393
133,Med,Alona_11.11.19_1550_3,5.231211850402513,6.1636753960132475,5.233996765955051,6.329273859701206
134,Des,Zeelim_23.9.19_1510_3,-0.6884111492041264,-8.043733568919492,2.4856464468829196,8.084973464567884
135,Des,Zeelim_31.05.21_0611_5,1.2331150616372797,1.8330696491839642,1.331900044126432,1.8429223990961379
136,Des,Zeelim_30.5.19_0630_4,1.773827046963085,-6.411918589375554,1.924015892417921,6.423190509270369
137,Med,Alona_26.2.20_1250_2,0.6344474378540331,0.7479129096634025,2.135588960887742,1.8623003617831924
138,Med,Alona_17.7.19_0900_5,-0.8601427525732174,-5.9396884750908345,3.006863185669614,6.044726113725051
139,Med,Alona_3.7.19_1750_3,3.5694094515898582,3.609724206157226,3.6406753422379796,3.634693824557127
140,Des,Zeelim_7.11.19_1550_5,2.7371869316062716,-0.5195611382115494,2.789436804861002,3.580237795558645
141,Med,Alona_5.6.19_1740_4,1.965886608749095,1.543605780870591,2.271730829168467,1.7792243140171342
142,Des,Zeelim_31.05.21_1805_2,-0.7555366887951367,-0.5805089201914323,3.179960239505763,0.9367914992091008
143,Des,Zeelim_31.05.21_1516_3,0.04345888897971696,-7.676104487881665,2.495374681597661,7.676104487881665
144,Des,Zeelim_7.11.19_1100_1,-1.2671316936135821,-10.94660464527627,2.7781356661160514,10.94738317468748
145,Des,Zeelim_30.1.20_1050_4,1.7362651102055235,-8.23626904283883,1.7851226796258197,8.236370872708191
146,Des,Mishmar_30.7.19_0640_3,1.153814400060135,-11.037629778385382,1.1766605232697205,11.037629778385382
147,Med,Alona_2.7.19_0920_4,-0.8882001322425421,-10.942405948514375,3.3871516026545025,10.951027486310624
148,Des,Mishmar_12.04.21_1006_4,6.025392518745062,-10.678850317239382,6.062851730889571,10.678850317239382
149,Des,Mishmar_12.04.21_1006_5,5.770051074270156,-11.587274638586804,5.858668415764761,11.587274638586804
150,Med,Alona_12.9.19_1440_1,1.4634952340545053,0.6574805946438291,4.314441572711538,3.72012962800526
151,Med,Alona_2.7.19_0920_5,-1.5363078041802118,-12.074601419394842,3.809653586847506,12.100508453626178
152,Des,Mishmar_30.7.19_0640_2,1.3577174365113809,-10.727458117099152,1.3715943113848965,10.727458117099152
153,Des,Zeelim_30.1.20_1050_5,1.771398066721856,-8.242117075032096,1.7923272399032424,8.242620955552061
154,Med,Alona_13.12.20_0925_1,7.93953764383293,6.63618872633964,7.93953764383293,6.638388294031343
155,Des,Zeelim_31.05.21_1516_2,2.7385409967100887,-5.707485511870725,3.2229257735680656,5.707485511870725
156,Des,Zeelim_31.05.21_1805_3,-1.9918765923860071,-1.1515316341553399,4.099562148338773,1.3874945509301109
157,Med,Alona_5.6.19_1740_5,1.8886983148922203,1.3340811025499761,2.2492691646871674,1.64841267548015
158,Des,Zeelim_7.11.19_1550_4,2.124700687636455,-3.2774431621862368,2.2005633606624526,3.5755105592369274
159,Med,Alona_3.7.19_1750_2,3.8787029228236687,4.078589249344143,3.9085725600596093,4.085282403678458
160,Med,Alona_5.6.19_1230_1,-5.291210094935199,-7.6462179579696805,6.617929542512204,7.825655544055243
161,Med,Alona_26.2.20_1250_3,-0.6668701437291015,-0.2389357846331999,1.90631142879987,1.4893881516122587
162,Med,Alona_17.7.19_0900_4,-0.47561488264729684,-5.569269655277444,3.1873440016699903,5.735778745343762
163,Med,Alona_13.12.20_0840_1,4.441808223119866,4.298892239285997,4.441852763739563,4.299076374685873
164,Des,Zeelim_31.05.21_0611_4,1.3069264054621896,1.917968713068661,1.428793527975606,1.9432218804269212
165,Des,Zeelim_30.5.19_0630_5,1.5666237409679586,-7.807050776980227,1.6270179815418018,7.807274154988016
166,Des,Zeelim_23.9.19_1510_2,-1.1173470060722492,-7.910756122539117,1.9757072050972675,7.911027122943256
167,Med,Alona_11.11.19_1550_2,3.935319275968628,4.662444783173112,3.9490622762472722,5.726910077811564
168,Des,Zeelim_29.5.19_1730_1,0.938678051679365,-5.151533987478738,1.683810599490688,5.185341138178253
169,Des,Zeelim_18.9.19_0900_5,-5.078475988854608,-17.72321024812263,5.137446225302238,17.72321024812263
170,Med,Alona_3.7.19_0730_4,1.069561357387896,-2.913140445715214,2.253341925257402,3.2690318977294126
171,Med,Alona_2.7.19_1245_1,-4.140446282637373,-6.113165699394638,5.140054729221156,6.747144550587236
172,Des,Zeelim_18.9.19_1200_4,-4.579140501121944,-14.126521138563167,5.229393365831724,14.126521138563167
173,Des,Zeelim_30.1.20_1350_2,0.5779115105963099,-4.155448492944757,1.7222037564884196,4.291174810663036
174,Des,Zeelim_23.9.19_1730_5,0.4744466679141885,3.022268863403493,1.0622076597839976,3.2286810225586016
175,Des,Zeelim_18.9.19_1300_1,-6.051692963799495,-14.592091763181148,6.122012845154964,14.592091763181148
176,Med,Alona_13.12.20_1554_1,3.038490747643051,13.27968527532136,3.0384910520989217,13.27968527532136
177,Des,Zeelim_31.05.21_0819_1,5.331437900462004,-3.892177761777902,5.335423445645702,3.8958418199584903
178,Des,Zeelim_12.04.21_1118_5,2.684493436330969,-11.615525543881581,3.7308052973907753,11.615525543881581
179,Des,Zeelim_31.05.21_1712_4,2.657590509939039,-3.0612250926318625,3.147994204200555,3.0612250926318625
180,Med,Alona_20.5.19_1040_1,-2.9336290460694983,-12.002017587441284,4.3269243989594806,12.013832848733728
